user_id,movie_id,rating,timestamp,genres
62,254,4,977903227,Drama
5534,1372,5,960074304,Action|Adventure|Sci-Fi
1764,3785,5,974701941,Comedy|Horror
5046,104,4,962506136,Comedy
1015,1648,4,975018438,Comedy|Drama|Thriller
3454,47,5,968188993,Crime|Thriller
2722,317,4,973277690,ForChildren|Comedy|Fantasy
3314,3507,5,967947557,Comedy
524,3627,4,976171840,Horror|Thriller
1974,908,4,974684645,Drama|Thriller
4258,1078,4,965413275,Comedy|War
3823,2993,4,965951534,Action
4727,527,4,995781316,Drama|War
2752,2518,5,973196566,Comedy
6036,2294,4,956753060,Animation|ForChildren
4107,2373,4,965519703,Action|Adventure
536,2687,5,976138659,Animation|ForChildren
4386,296,5,965171159,Crime|Drama
5521,2084,5,959648507,ForChildren|Musical
329,2599,4,976393368,Comedy
3601,953,5,966640011,Drama
3013,2161,4,970521388,Adventure|ForChildren|Fantasy
797,915,5,975413509,Comedy|Romance
1038,2670,4,974987483,War
5986,1947,5,956890453,Musical|Romance
2910,1777,4,1016478571,Comedy|Romance
5448,1077,4,959965684,Comedy|Sci-Fi
4708,1921,5,963519158,Sci-Fi|Thriller
2803,1729,4,978237422,Crime|Drama
4663,3671,4,963863863,Comedy|Western
588,2183,4,975944249,Thriller
3841,2875,4,965999759,Drama|Mystery|Romance
5550,2640,4,959470014,Action|Adventure|Sci-Fi
4904,3755,5,962684156,Action|Adventure|Thriller
3850,2688,4,965879239,Drama|Thriller
2056,1288,5,974660802,Comedy|Drama|Musical
1579,1089,4,974756893,Crime|Thriller
551,2437,4,976066319,Drama
3358,3095,4,967693649,Drama
1147,1504,4,974872784,Drama
551,2571,4,976065915,Action|Sci-Fi|Thriller
1000,1214,4,975040919,Action|Horror|Sci-Fi|Thriller
550,783,5,976161649,Animation|ForChildren|Musical
4411,3927,4,969388732,Adventure|Sci-Fi
5269,928,4,966913109,Romance|Thriller
4959,1296,4,962634550,Drama|Romance
5652,431,4,958846451,Crime|Drama
1451,440,4,974763580,Comedy|Romance
5812,2302,5,957945960,Comedy
451,926,5,976416477,Drama
1299,3462,5,974786356,Comedy
6022,1588,4,956755562,ForChildren|Comedy
5167,2947,5,962854880,Action
3348,3073,4,967752038,Drama|Romance
760,608,5,975452278,Crime|Drama|Thriller
53,1356,5,977976185,Action|Adventure|Sci-Fi
1727,1264,4,974706594,Action|Drama|Mystery|Romance|Thriller
1394,2455,5,974764328,Horror|Sci-Fi
1943,648,4,974693784,Action|Adventure|Mystery
6016,1960,4,956958135,Drama|War
1345,2997,4,974773383,Comedy
4843,2065,5,962848098,Comedy|Drama|Romance
199,2011,5,976979411,Comedy|Sci-Fi
3866,1269,4,965851195,Comedy|Mystery|Thriller
264,1269,4,976714083,Comedy|Mystery|Thriller
5511,1343,4,959716937,Thriller
1501,34,4,974932093,ForChildren|Comedy|Drama
4653,1207,5,963939401,Drama
3314,2100,4,967944105,Comedy|Fantasy|Romance
4824,111,4,962915154,Drama|Thriller
1442,661,4,974765322,Animation|ForChildren|Musical
4277,1128,4,1031997708,Horror
1920,1234,4,974728382,Comedy|Crime
469,1919,4,976224758,ForChildren|Comedy
4437,832,5,965099565,Drama|Thriller
3414,1792,4,967487225,Action|Thriller
4115,1674,4,965365127,Drama|Romance|Thriller
2361,1172,4,974379068,Comedy|Drama|Romance
2694,2021,5,973311166,Fantasy|Sci-Fi
996,748,4,976438320,Action|Sci-Fi|Thriller
4888,2732,5,962739697,Drama
2283,1230,5,974531814,Comedy|Romance
5091,378,4,963685034,Comedy|Romance
963,2194,5,980010230,Action|Crime|Drama
4293,615,5,965272703,Drama
1497,3623,4,974750523,Action|Thriller
4422,3753,4,965117609,Action|Drama|War
3990,1198,5,965781431,Action|Adventure
5987,1179,4,956882440,Crime|Drama|Film-Noir
93,3827,5,977631640,Action|Sci-Fi
1345,1064,4,974775708,Animation|ForChildren|Comedy
1880,454,4,974705351,Drama|Thriller
5632,1097,5,959014326,ForChildren|Drama|Fantasy|Sci-Fi
4501,1965,4,964989431,Comedy|Sci-Fi
398,2734,4,1044565675,Drama
5490,364,4,959963069,Animation|ForChildren|Musical
5664,1784,5,959389104,Comedy|Drama
4824,3504,5,963437109,Comedy|Drama
3469,2947,5,967155007,Action
3890,1,4,965798694,Animation|ForChildren|Comedy
5650,1641,4,1027916494,Comedy
4506,2018,5,964985481,Animation|ForChildren
3226,1084,4,968435610,Crime|Drama
3885,3461,5,965811967,Adventure|Drama|Thriller
4299,2803,5,965269453,Thriller
4983,2057,4,994127878,Adventure|ForChildren
1474,318,5,975099999,Drama
3331,2005,5,967854846,Adventure|ForChildren|Fantasy
5194,1147,5,961697706,Documentary
3709,2371,5,966276740,Comedy
3253,3683,4,968283858,Drama|Film-Noir
3273,1210,5,968195098,Action|Adventure|Romance|Sci-Fi|War
