user_id,movie_id,rating,timestamp,genres
5249,1307,5,961604412,Comedy|Romance
331,3728,5,990978485,Thriller
3724,41,4,966225433,Drama|War
5979,345,4,956937856,Comedy|Drama
4843,2730,5,962847318,Drama
5199,3256,5,961652124,Action|Thriller
5663,531,5,958769585,ForChildren|Drama
424,951,5,1029159356,Comedy
1021,1219,5,975007135,Horror|Thriller
3272,1580,4,968204916,Action|Adventure|Comedy|Sci-Fi
4497,2346,4,965000470,Sci-Fi|Thriller
1595,3543,4,974733915,Comedy|Drama
3600,1923,4,966619625,Comedy
4277,3002,4,986637202,Documentary
4115,1479,4,965363125,Action|Romance|Thriller
5702,3362,5,958580580,Comedy|Crime|Drama
2219,39,4,974601435,Comedy|Romance
3810,858,4,965957998,Action|Crime|Drama
558,913,4,976049332,Film-Noir|Mystery
533,150,4,976207593,Drama
1040,3386,4,974977441,Drama|Mystery
5749,72,5,962843728,Comedy|Drama
4780,1203,5,963016794,Drama
5026,10,4,962775245,Action|Adventure|Thriller
4959,1653,4,962637226,Drama|Sci-Fi|Thriller
4530,930,4,964741416,Film-Noir|Romance|Thriller
2231,2020,5,974598416,Drama|Romance
1298,595,5,974789825,Animation|ForChildren|Musical
1692,1231,5,974709713,Drama
4449,2762,5,965086653,Thriller
4855,2410,4,962846730,Action|Drama
3391,2908,5,988406589,Drama
5464,1957,4,959899915,Drama
1244,3897,5,974830489,Comedy|Drama
3715,198,5,966265982,Action|Crime|Sci-Fi
3786,1635,5,966030460,Drama
5831,260,4,957893750,Action|Adventure|Fantasy|Sci-Fi
1447,432,4,981024214,Comedy|Western
195,3950,4,990050529,Drama
1485,47,5,974751757,Crime|Thriller
3693,2867,4,966304617,Comedy|Horror
2934,3420,4,971492335,Drama|Thriller
281,265,5,976571811,Drama|Romance
386,1213,4,976300549,Crime|Drama
3836,3809,4,965969431,Comedy
2428,2000,4,974914296,Action|Comedy|Crime|Drama
1395,3429,5,974765033,Animation|Comedy
187,535,4,977077277,Drama
2457,457,4,974179664,Action|Thriller
229,524,4,976823034,Drama
4497,3362,4,964999505,Comedy|Crime|Drama
2944,1678,5,1011209312,Drama
3029,2018,5,970369514,Animation|ForChildren
5441,1147,4,959987590,Documentary
3510,3114,5,966974525,Animation|ForChildren|Comedy
2453,1625,4,974192110,Mystery|Thriller
990,104,4,978139200,Comedy
4403,3429,5,967058084,Animation|Comedy
48,589,4,978012485,Action|Sci-Fi|Thriller
2063,1015,4,975376314,Adventure|ForChildren
3534,260,5,966888936,Action|Adventure|Fantasy|Sci-Fi
4335,1020,4,965418981,Comedy
4114,1374,5,965364260,Action|Adventure|Sci-Fi
757,1097,5,975453396,ForChildren|Drama|Fantasy|Sci-Fi
2670,1226,4,973548308,Comedy|Romance
3393,2949,5,967494672,Action
3365,2829,4,967665863,Comedy|Drama
3752,2081,5,966121654,Animation|ForChildren|Comedy|Musical|Romance
5667,1953,5,958755072,Action|Crime|Drama|Thriller
3860,2987,4,965860278,Adventure|Animation|Film-Noir
5668,1210,5,958753735,Action|Adventure|Romance|Sci-Fi|War
4556,480,5,1010610070,Action|Adventure|Sci-Fi
1252,3079,4,976649844,Drama
